,PersonID,ActivityCVP,ActivityVISUM,ActivitySector,EducationPlace,Age,AgeGroup,BasicSettlementCode,CadastralAreaCode,DistrictCode,DeclaredJourneyTime,Education,Gender,JourneyMainMode,PrimaryLocTownCode,PrimaryLocDistrictCode,PrimaryLocRegionCode,PrimaryLocStateCode,PrimaryLocRelationHome,TownCode,TownSize,RegionCode
33541,33542,1,1,5,4,32,4,1786830,778681,4214,3,2,1,3,554804,4214,3069,203,1,568350,4,CZ042
33542,33543,13,5,99,0,6,1,1786830,778681,4214,1,88,2,6,568350,4214,3069,998,2,568350,4,CZ042
33543,33544,8,2,99,1,13,1,1786830,778681,4214,3,88,1,6,568350,4214,3069,203,6,568350,4,CZ042
33545,33546,8,2,99,3,24,3,710210,671029,4214,2,1,1,3,553697,4214,3069,998,3,553697,4,CZ042
33546,33547,8,2,99,3,21,3,710210,671029,4214,2,1,2,3,553697,4214,3069,998,4,553697,4,CZ042
33547,33548,1,1,1,4,45,5,710210,671029,4214,2,2,2,3,553697,4214,3069,998,5,553697,4,CZ042
33558,33559,1,1,1,4,37,4,1671180,767115,4214,2,2,1,6,568309,4214,3069,998,6,568309,2,CZ042
33559,33560,6,3,99,4,67,7,1671180,767115,4214,1,3,2,4,568058,4214,3069,998,1,568309,2,CZ042
33597,33598,1,1,1,4,52,6,504910,650498,4214,3,2,1,4,565717,4205,3069,203,5,568007,4,CZ042
33598,33599,1,1,9,4,49,5,504910,650498,4214,3,2,2,3,554804,4214,3069,203,1,568007,4,CZ042
33599,33600,12,4,1,3,30,3,504910,650498,4214,1,2,1,1,554804,4214,3069,998,6,568007,4,CZ042
33600,33601,6,3,99,4,70,7,1937210,793728,4214,1,2,2,4,554804,4214,3069,203,1,568384,99,CZ042
33601,33602,11,4,99,3,28,3,504910,650498,4214,4,2,1,3,568007,4214,3069,998,4,568007,4,CZ042
33602,33603,1,1,8,4,31,4,504910,650498,4214,3,2,1,7,562335,4202,3069,998,6,568007,4,CZ042
33603,33604,12,4,99,4,53,6,504910,650498,4214,1,2,1,3,567442,4213,3069,203,2,568007,4,CZ042
33604,33605,1,1,4,4,42,5,504910,650498,4214,1,2,1,6,554804,4214,3069,203,1,568007,4,CZ042
33605,33606,6,3,99,4,83,8,504910,650498,4214,4,1,2,3,568007,4214,3069,998,1,568007,4,CZ042
33607,33608,1,1,5,4,60,6,1767110,776726,4214,3,2,1,4,568350,4214,3069,203,6,568350,4,CZ042
33611,33612,1,1,9,4,32,4,1268290,726826,4214,1,2,1,5,554804,4214,3069,998,2,568155,4,CZ042
33612,33613,1,1,6,3,28,3,1268290,726826,4214,2,2,1,6,554804,4214,3069,998,1,568155,4,CZ042
33615,33616,1,1,1,4,58,6,1268110,726818,4214,2,2,2,5,554804,4214,3069,998,1,568155,4,CZ042
33616,33617,13,5,99,1,9,1,1268020,726800,4214,2,88,1,5,554804,4214,3069,998,6,568155,4,CZ042
33618,33619,13,5,99,0,8,1,1268020,726800,4214,2,88,1,4,554804,4214,3069,203,3,568155,4,CZ042
33619,33620,7,5,99,3,25,3,1268020,726800,4214,3,1,2,6,554804,4214,3069,998,1,568155,4,CZ042
33631,33632,13,5,99,0,8,1,335020,633500,4214,3,88,2,6,554804,4214,3069,998,6,568201,3,CZ042
33634,33635,12,4,1,4,45,5,834110,683418,4214,6,2,2,6,554804,4214,3069,998,6,568058,3,CZ042
33635,33636,1,1,9,4,47,5,834110,683418,4214,2,2,1,4,554804,4214,3069,203,3,568058,3,CZ042
33636,33637,8,2,99,3,24,3,834110,683418,4214,5,1,1,7,562882,4215,3069,203,2,568058,3,CZ042
33638,33639,1,1,9,4,36,4,363910,636398,4214,2,2,1,6,567761,4201,3069,203,2,567957,99,CZ042
33640,33641,8,2,99,3,25,3,363910,636398,4214,2,2,2,6,554804,4214,3069,998,1,567957,99,CZ042
33642,33643,1,1,1,4,47,5,363910,636398,4214,3,2,1,3,568201,4214,3069,998,5,567957,99,CZ042
33645,33646,12,4,99,4,40,4,303760,630373,4214,1,2,1,3,554804,4214,3069,203,1,546925,99,CZ042
33660,33661,1,1,7,4,58,6,517990,651796,4214,1,2,1,1,553697,4214,3069,998,1,568015,4,CZ042
33661,33662,6,3,99,4,62,7,517990,651796,4214,3,1,2,6,568015,4214,3069,203,1,568015,4,CZ042
33662,33663,1,1,9,3,27,3,517990,651796,4214,2,2,1,6,568023,4214,3069,203,1,568015,4,CZ042
33674,33675,1,1,9,4,40,4,1786830,778681,4214,2,2,1,4,554804,4214,3069,203,1,568350,4,CZ042
33677,33678,6,3,99,4,79,8,1786830,778681,4214,2,1,2,7,554804,4214,3069,998,1,568350,4,CZ042
33678,33679,6,3,99,4,69,7,416700,641677,4214,2,2,1,6,567973,4214,3069,203,1,567973,99,CZ042
33680,33681,1,1,1,4,43,5,416700,641677,4214,3,2,1,4,554804,4214,3069,203,1,567973,99,CZ042
33681,33682,1,1,4,4,41,5,1786830,778681,4214,1,2,1,4,554804,4214,3069,998,1,568350,4,CZ042
33683,33684,1,1,5,4,46,5,1786830,778681,4214,2,2,1,1,568350,4214,3018,998,1,568350,4,CZ042
33691,33692,13,5,99,1,10,1,1554110,755419,4214,3,88,1,3,554804,4214,3069,203,4,546925,99,CZ042
33693,33694,1,1,7,4,59,6,1554110,755419,4214,2,2,2,3,554804,4214,3069,203,1,546925,99,CZ042
33695,33696,1,1,99,4,46,5,1786830,778681,4214,2,2,2,5,554804,4214,3069,998,6,568350,4,CZ042
33698,33699,1,1,9,4,42,5,1937210,793728,4214,1,2,1,4,553697,4214,3069,998,4,568384,99,CZ042
33700,33701,1,1,1,4,67,7,1937210,793728,4214,3,2,1,4,554804,4214,3069,998,1,568384,99,CZ042
33701,33702,1,1,9,4,49,5,1786830,778681,4214,6,2,2,7,554804,4214,3069,998,4,568350,4,CZ042
33702,33703,8,2,99,3,21,3,1786830,778681,4214,3,1,1,6,568350,4214,3069,998,4,568350,4,CZ042
33706,33707,8,2,99,3,20,3,504910,650498,4214,2,88,1,3,554804,4214,3069,998,6,568007,4,CZ042
33707,33708,1,1,1,4,48,5,504910,650498,4214,2,4,1,6,568007,4214,3069,998,6,568007,4,CZ042
33708,33709,8,2,99,2,17,2,504910,650498,4214,2,88,2,1,568007,4214,3069,998,1,568007,4,CZ042
33719,33720,1,1,8,4,46,5,845570,684554,4214,2,4,2,6,554804,4214,3069,998,1,568023,3,CZ042
33746,33747,1,1,7,4,45,5,845570,684554,4214,2,2,1,6,554804,4214,3069,203,1,568023,3,CZ042
33747,33748,1,1,8,4,41,5,845570,684554,4214,2,2,2,4,554804,4214,3069,998,1,568023,3,CZ042
33748,33749,13,5,99,0,7,1,845570,684554,4214,3,88,2,6,554804,4214,3069,203,1,568023,3,CZ042
33749,33750,8,2,99,1,14,1,845570,684554,4214,2,88,2,7,554804,4214,3069,203,1,568023,3,CZ042
33755,33756,8,2,99,2,18,2,517990,651796,4214,1,88,1,6,568015,4214,3069,203,6,568015,4,CZ042
33756,33757,1,1,99,4,62,7,517990,651796,4214,1,2,2,3,567442,4213,3069,998,3,568015,4,CZ042
33757,33758,6,3,99,4,62,7,517990,651796,4214,3,4,1,3,554804,4214,3069,203,1,568015,4,CZ042
33787,33788,12,4,99,4,58,6,517990,651796,4214,2,2,1,4,554804,4214,3069,998,6,568015,4,CZ042
33788,33789,1,1,7,4,61,7,517990,651796,4214,2,1,2,6,568015,4214,3069,998,1,568015,4,CZ042
33815,33816,1,1,8,4,50,5,1350710,735078,4214,1,2,2,7,568015,4214,3069,203,1,530620,99,CZ042
33818,33819,8,2,99,3,25,3,1350710,735078,4214,2,2,2,6,554804,4214,3069,203,1,530620,99,CZ042
33823,33824,2,1,99,4,72,8,710210,671029,4214,3,2,1,6,553697,4214,3069,998,4,553697,4,CZ042
33824,33825,1,1,9,3,26,3,1749710,774979,4214,5,2,2,3,553697,4214,3069,998,6,553697,4,CZ042
33825,33826,6,3,99,4,67,7,335020,633500,4214,2,2,2,3,568201,4214,3069,998,2,568201,3,CZ042
33827,33828,6,3,99,4,76,8,1749710,774979,4214,4,2,2,6,554804,4214,3069,203,1,553697,4,CZ042
33828,33829,1,1,1,4,32,4,1749710,774979,4214,1,2,1,6,554804,4214,3069,203,1,553697,4,CZ042
33924,33925,8,2,99,2,17,2,1558110,755818,4214,6,88,1,6,564567,4205,3069,998,1,568015,4,CZ042
33926,33927,99,99,99,4,42,5,1558110,755818,4214,1,1,2,3,554804,4214,3069,203,4,568015,4,CZ042
33927,33928,13,5,99,0,8,1,1558110,755818,4214,1,88,1,6,554804,4214,3069,998,4,568015,4,CZ042
33929,33930,13,5,99,0,7,1,1749710,774979,4214,2,88,2,3,553697,4214,3069,203,2,553697,4,CZ042
33930,33931,13,5,99,1,9,1,1749710,774979,4214,2,88,2,1,553697,4214,3069,203,3,553697,4,CZ042
33934,33935,1,1,99,4,48,5,1749710,774979,4214,2,2,2,3,554804,4214,3069,998,6,553697,4,CZ042
33937,33938,1,1,8,4,65,7,517990,651796,4214,2,3,2,6,567442,4213,3069,203,2,568015,4,CZ042
33939,33940,6,3,99,4,87,8,517990,651796,4214,2,2,1,4,567442,4213,3069,998,6,568015,4,CZ042
33940,33941,8,2,99,3,22,3,517990,651796,4214,3,1,1,1,554804,4214,3069,998,1,568015,4,CZ042
33941,33942,1,1,9,4,45,5,517990,651796,4214,2,2,1,6,537969,4103,3051,203,3,568015,4,CZ042
33955,33956,1,1,4,4,47,5,517990,651796,4214,2,2,1,1,568015,4214,3069,998,6,568015,4,CZ042
33956,33957,8,2,99,1,14,1,517990,651796,4214,1,88,2,1,568015,4214,3069,203,4,568015,4,CZ042
33958,33959,1,1,9,4,65,7,517990,651796,4214,2,2,2,6,568015,4214,3069,203,6,568015,4,CZ042
33959,33960,1,1,4,4,61,7,517990,651796,4214,4,2,1,5,568295,4214,3069,998,1,568015,4,CZ042
33996,33997,6,3,99,4,73,8,517990,651796,4214,2,2,2,5,553697,4214,3069,203,1,568015,4,CZ042
33997,33998,6,3,99,4,75,8,517990,651796,4214,3,2,1,3,568015,4214,3069,203,1,568015,4,CZ042
33998,33999,6,3,99,4,82,8,517990,651796,4214,4,1,1,3,554804,4214,3069,203,1,568015,4,CZ042
33999,34000,12,4,99,3,29,3,517990,651796,4214,1,2,1,6,564567,4205,3069,998,1,568015,4,CZ042
34006,34007,6,3,99,4,70,7,1749710,774979,4214,5,2,1,3,554804,4214,3069,998,1,553697,4,CZ042
34009,34010,1,1,7,4,54,6,517990,651796,4214,2,2,2,6,554804,4214,3069,998,6,568015,4,CZ042
34010,34011,1,1,9,4,33,4,517990,651796,4214,5,2,2,6,554804,4214,3069,998,6,568015,4,CZ042
34016,34017,1,1,9,4,32,4,517990,651796,4214,2,2,2,6,568015,4214,3069,998,5,568015,4,CZ042
34019,34020,1,1,9,4,34,4,517990,651796,4214,3,2,2,7,554804,4214,3069,998,1,568015,4,CZ042
34024,34025,1,1,9,4,57,6,517990,651796,4214,3,1,2,6,568015,4214,3026,998,1,568015,4,CZ042
34026,34027,99,99,99,4,32,4,517990,651796,4214,2,2,1,6,554804,4214,3069,203,1,568015,4,CZ042
34031,34032,99,99,99,4,55,6,517990,651796,4214,1,2,2,6,569810,5205,3069,203,1,568015,4,CZ042
34033,34034,6,3,99,4,68,7,517990,651796,4214,2,2,2,6,554804,4214,3069,998,1,568015,4,CZ042
34041,34042,6,3,99,4,71,8,517990,651796,4214,1,2,1,3,554804,4214,3069,998,4,568015,4,CZ042
34042,34043,6,3,99,4,69,7,517990,651796,4214,3,1,2,7,567507,4213,3069,203,5,568015,4,CZ042
34043,34044,6,3,99,4,61,7,517990,651796,4214,4,2,2,6,554804,4214,3069,203,6,568015,4,CZ042
34044,34045,6,3,99,4,75,8,517990,651796,4214,1,1,2,6,561860,5106,3069,998,5,568015,4,CZ042
34046,34047,1,1,1,4,45,5,517990,651796,4214,2,2,1,4,554804,4214,3069,203,1,568015,4,CZ042
34047,34048,1,1,8,4,41,5,517990,651796,4214,3,2,2,3,554804,4214,3069,203,1,568015,4,CZ042
34049,34050,6,3,99,4,65,7,517990,651796,4214,2,1,2,3,554804,4214,3069,998,2,568015,4,CZ042
34051,34052,6,3,99,4,77,8,517990,651796,4214,2,2,1,3,554782,1100,3069,998,6,568015,4,CZ042
34052,34053,1,1,7,4,35,4,517990,651796,4214,2,2,2,6,554804,4214,3069,203,1,568015,4,CZ042
34053,34054,1,1,4,4,37,4,517990,651796,4214,2,2,1,6,554804,4214,3069,203,1,568015,4,CZ042
34078,34079,99,99,99,3,27,3,1554110,755419,4214,1,2,1,3,554804,4214,3069,998,1,546925,99,CZ042
34081,34082,8,2,99,3,25,3,1554110,755419,4214,1,1,2,6,554804,4214,3069,998,1,546925,99,CZ042
34085,34086,1,1,9,4,46,5,517990,651796,4214,3,2,1,6,567442,4213,3069,998,1,568015,4,CZ042
34086,34087,8,2,99,3,20,3,517990,651796,4214,1,88,1,1,568015,4214,3069,998,2,568015,4,CZ042
34088,34089,13,5,99,0,6,1,517990,651796,4214,1,88,2,3,554804,4214,3069,998,6,568015,4,CZ042
34089,34090,1,1,1,4,63,7,517990,651796,4214,3,2,1,3,554804,4214,3069,203,1,568015,4,CZ042
34090,34091,8,2,99,2,18,2,517990,651796,4214,3,88,2,3,568015,4214,3069,998,1,568015,4,CZ042
34092,34093,12,4,99,3,29,3,517990,651796,4214,2,2,2,5,567442,4213,3069,998,1,568015,4,CZ042
34093,34094,8,2,99,1,15,1,517990,651796,4214,3,88,2,6,568015,4214,3069,203,6,568015,4,CZ042
34094,34095,8,2,99,3,27,3,517990,651796,4214,1,2,1,1,554804,4214,3069,998,4,568015,4,CZ042
34095,34096,3,2,99,4,31,4,517990,651796,4214,2,4,2,7,554804,4214,3069,998,1,568015,4,CZ042
34101,34102,6,3,99,4,71,8,1657350,765732,4214,4,2,2,1,568295,4214,3069,203,2,568295,2,CZ042
34102,34103,8,2,99,3,21,3,517990,651796,4214,3,1,1,3,554804,4214,3069,203,1,568015,4,CZ042
34103,34104,1,1,9,4,48,5,517990,651796,4214,1,2,2,6,567639,4213,3069,203,2,568015,4,CZ042
34104,34105,8,2,99,3,25,3,517990,651796,4214,2,2,2,3,568015,4214,3069,998,1,568015,4,CZ042
34105,34106,1,1,1,4,47,5,517990,651796,4214,1,1,1,6,567639,4213,3069,203,2,568015,4,CZ042
34108,34109,1,1,1,4,32,4,1788530,778851,4214,5,2,2,4,554804,4214,3069,998,4,555223,2,CZ042
34109,34110,99,99,99,4,53,6,517990,651796,4214,2,2,2,5,568147,4214,3069,203,1,568015,4,CZ042
34111,34112,99,99,99,3,22,3,517990,651796,4214,2,1,2,6,568015,4214,3069,203,4,568015,4,CZ042
34114,34115,6,3,99,4,73,8,1657350,765732,4214,2,2,1,5,554804,4214,3069,998,1,568295,2,CZ042
34119,34120,1,1,9,4,54,6,1767290,776726,4214,2,2,2,6,554804,4214,3069,998,1,568350,4,CZ042
34145,34146,8,2,99,1,13,1,517990,651796,4214,5,88,1,3,554804,4214,3069,998,4,568015,4,CZ042
34146,34147,6,3,99,4,56,6,517990,651796,4214,1,2,1,1,568015,4214,3069,203,5,568015,4,CZ042
34147,34148,1,1,9,4,39,4,517990,651796,4214,6,2,2,6,554804,4214,3069,998,4,568015,4,CZ042
34150,34151,1,1,1,4,66,7,517990,651796,4214,2,2,1,3,564567,4205,3069,998,1,568015,4,CZ042
34151,34152,1,1,8,4,65,7,517990,651796,4214,2,4,2,6,568015,4214,3069,998,4,568015,4,CZ042
34152,34153,6,3,99,4,67,7,517990,651796,4214,1,2,2,6,554804,4214,3069,203,1,568015,4,CZ042
34154,34155,6,3,99,4,69,7,517990,651796,4214,2,2,1,6,554804,4214,3069,203,1,568015,4,CZ042
34155,34156,1,1,4,4,47,5,517990,651796,4214,1,2,1,6,568015,4214,3069,998,1,568015,4,CZ042
34156,34157,1,1,1,4,54,6,1786830,778681,4214,3,2,1,6,568201,4214,3069,203,1,568350,4,CZ042
34173,34174,1,1,1,4,55,6,517990,651796,4214,2,2,2,3,568015,4214,3069,203,6,568015,4,CZ042
34174,34175,1,1,1,3,28,3,517990,651796,4214,2,2,1,6,554804,4214,3069,203,1,568015,4,CZ042
34175,34176,1,1,99,4,59,6,1786830,778681,4214,3,2,1,4,554804,4214,3069,998,1,568350,4,CZ042
34185,34186,1,1,9,4,66,7,1767290,776726,4214,1,2,1,6,554804,4214,3069,998,1,568350,4,CZ042
34186,34187,6,3,99,4,64,7,1767290,776726,4214,1,2,2,6,554804,4214,3069,998,5,568350,4,CZ042
34199,34200,13,5,99,4,37,4,1786830,778681,4214,2,3,2,1,553697,4214,3069,998,4,568350,4,CZ042
34202,34203,6,3,99,4,78,8,904840,690481,4214,1,1,2,1,554804,4214,3069,203,1,568091,2,CZ042
34206,34207,12,4,99,4,59,6,1786830,778681,4214,3,1,2,4,554804,4214,3069,203,3,568350,4,CZ042
34211,34212,8,2,99,2,17,2,1786830,778681,4214,2,88,1,6,568350,4214,3069,203,6,568350,4,CZ042
34213,34214,1,1,9,4,55,6,1786830,778681,4214,4,4,1,3,554804,4214,3069,203,5,568350,4,CZ042
34217,34218,1,1,8,4,43,5,1786830,778681,4214,4,2,2,5,554804,4214,3069,203,1,568350,4,CZ042
34220,34221,8,2,99,2,18,2,904680,690465,4214,2,88,1,6,554804,4214,3042,998,1,568091,2,CZ042
34221,34222,6,3,99,4,72,8,1786830,778681,4214,3,2,1,6,567256,4206,3069,998,6,568350,4,CZ042
34233,34234,8,2,99,1,12,1,1786830,778681,4214,1,88,1,4,568350,4214,3069,998,4,568350,4,CZ042
34235,34236,1,1,5,4,56,6,1786830,778681,4214,3,4,1,6,553697,4214,3069,203,1,568350,4,CZ042
34236,34237,6,3,99,4,66,7,1786830,778681,4214,1,2,2,6,554804,4214,3069,998,1,568350,4,CZ042
34237,34238,1,1,9,4,41,5,1786830,778681,4214,4,2,2,3,568350,4214,3069,998,1,568350,4,CZ042
34238,34239,1,1,99,4,37,4,1786830,778681,4214,3,2,2,1,568015,4214,3069,998,1,568350,4,CZ042
34239,34240,1,1,9,4,37,4,1786830,778681,4214,2,2,1,5,554804,4214,3069,998,4,568350,4,CZ042
34240,34241,1,1,99,4,49,5,904680,690465,4214,1,2,1,6,554804,4214,3042,998,2,568091,2,CZ042
34245,34246,1,1,8,4,52,6,1786830,778681,4214,2,4,2,6,554804,4214,3069,203,1,568350,4,CZ042
34246,34247,8,2,99,3,26,3,1786830,778681,4214,6,2,1,5,554791,3209,3042,203,4,568350,4,CZ042
34247,34248,8,2,99,3,20,3,1786830,778681,4214,2,88,1,7,554804,4214,3069,203,1,568350,4,CZ042
34248,34249,1,1,7,4,53,6,1786830,778681,4214,2,4,1,6,554804,4214,3069,203,1,568350,4,CZ042
34256,34257,1,1,7,4,46,5,1786830,778681,4214,2,2,2,6,554804,4214,3069,203,1,568350,4,CZ042
34257,34258,8,2,99,3,21,3,1786830,778681,4214,3,1,2,6,568350,4214,3069,998,1,568350,4,CZ042
34264,34265,6,3,99,4,64,7,1786830,778681,4214,1,1,2,4,554804,4214,3069,203,1,568350,4,CZ042
34265,34266,1,1,1,4,65,7,1786830,778681,4214,2,2,1,4,554804,4214,3069,998,1,568350,4,CZ042
34272,34273,7,5,99,4,34,4,1786830,778681,4214,6,3,2,5,568350,4214,3069,998,1,568350,4,CZ042
34283,34284,1,1,99,4,53,6,1450090,745031,4214,1,2,2,6,568201,4214,3069,203,6,568201,3,CZ042
34284,34285,1,1,99,4,63,7,335110,633518,4214,6,2,1,6,554804,4214,3069,998,1,568201,3,CZ042
34290,34291,1,1,9,4,40,4,1450330,745031,4214,1,2,2,6,554782,1100,3069,998,1,568201,3,CZ042
34294,34295,12,4,99,4,47,5,1767110,776726,4214,2,2,2,4,554804,4214,3069,203,4,568350,4,CZ042
34295,34296,1,1,99,4,46,5,1767110,776726,4214,5,2,1,6,568350,4214,3069,203,6,568350,4,CZ042
34305,34306,1,1,8,4,56,6,1450330,745031,4214,2,2,2,6,554804,4214,3069,203,1,568201,3,CZ042
34309,34310,8,2,99,3,25,3,1450090,745031,4214,2,1,1,5,554804,4214,3069,203,1,568201,3,CZ042
34310,34311,1,1,7,4,47,5,1450090,745031,4214,1,2,2,7,567957,4214,3069,203,1,568201,3,CZ042
34311,34312,1,1,9,4,52,6,1450090,745031,4214,4,2,1,6,554804,4214,3069,998,1,568201,3,CZ042
34314,34315,13,5,99,0,7,1,1767110,776726,4214,1,88,2,4,553697,4214,3069,203,1,568350,4,CZ042
34315,34316,13,5,99,1,11,1,1767110,776726,4214,2,88,2,7,553697,4214,3069,203,2,568350,4,CZ042
34316,34317,1,1,9,4,37,4,1767110,776726,4214,3,2,1,4,554804,4214,3069,998,1,568350,4,CZ042
34317,34318,7,5,99,4,40,4,1767110,776726,4214,2,2,2,6,568201,4214,3069,203,4,568350,4,CZ042
34319,34320,99,99,99,4,43,5,1450090,745031,4214,1,2,1,6,568201,4214,3069,203,1,568201,3,CZ042
34320,34321,1,1,99,4,42,5,334990,633496,4214,4,2,1,4,568007,4214,3115,998,5,568201,3,CZ042
34321,34322,1,1,99,4,38,4,334990,633496,4214,1,2,2,3,554804,4214,3069,998,6,568201,3,CZ042
34326,34327,1,1,7,4,59,6,504910,650498,4214,1,2,1,2,568007,4214,3069,998,1,568007,4,CZ042
34330,34331,6,3,99,4,73,8,504910,650498,4214,1,2,2,6,554804,4214,3069,203,2,568007,4,CZ042
34332,34333,6,3,99,4,70,7,504910,650498,4214,2,2,2,4,554804,4214,3069,203,1,568007,4,CZ042
34337,34338,1,1,7,4,46,5,1350710,735078,4214,1,2,1,4,554804,4214,3069,998,1,530620,99,CZ042
34339,34340,8,2,99,1,13,1,1350710,735078,4214,1,88,1,3,568007,4214,3069,203,1,530620,99,CZ042
34344,34345,13,5,99,0,8,1,1350710,735078,4214,2,88,1,3,563889,5105,3069,998,1,530620,99,CZ042
34345,34346,1,1,9,4,45,5,1350710,735078,4214,2,2,1,7,554804,4214,3069,998,6,530620,99,CZ042
34347,34348,8,2,99,2,19,2,1350710,735078,4214,2,88,1,4,568007,4214,3069,203,1,530620,99,CZ042
34353,34354,1,1,7,4,34,4,504910,650498,4214,2,2,1,6,554804,4214,3042,998,5,568007,4,CZ042
34354,34355,6,3,99,4,68,7,504910,650498,4214,1,2,1,6,554804,4214,3069,203,4,568007,4,CZ042
34355,34356,2,1,8,4,66,7,517990,651796,4214,1,4,2,3,568007,4214,3069,203,1,568015,4,CZ042
34356,34357,13,5,99,1,10,1,1350710,735078,4214,1,88,1,7,554804,4214,3069,203,5,530620,99,CZ042
34357,34358,1,1,1,4,39,4,1350710,735078,4214,1,2,2,6,567639,4213,3069,203,2,530620,99,CZ042
34358,34359,8,2,99,3,20,3,1350710,735078,4214,2,88,1,4,568007,4214,3069,203,1,530620,99,CZ042
34359,34360,8,2,99,2,17,2,1350710,735078,4214,2,88,1,4,568007,4214,3069,203,1,530620,99,CZ042
34361,34362,3,2,99,3,23,3,504910,650498,4214,2,2,2,3,568007,4214,3069,998,1,568007,4,CZ042
34365,34366,6,3,99,4,63,7,1767290,776726,4214,2,2,1,7,545881,3105,3069,203,1,568350,4,CZ042
34372,34373,1,1,99,4,64,7,1786830,778681,4214,3,2,1,7,546828,4205,3069,203,2,568350,4,CZ042
34390,34391,8,2,99,2,18,2,547710,654779,4214,2,88,1,3,553697,4214,3069,998,1,568023,3,CZ042
34391,34392,1,1,1,4,46,5,547710,654779,4214,3,2,1,6,568023,4214,3069,203,6,568023,3,CZ042
34392,34393,1,1,8,4,41,5,547710,654779,4214,2,2,2,6,568023,4214,3069,998,1,568023,3,CZ042
34393,34394,1,1,1,4,67,7,547710,654779,4214,1,2,1,4,568023,4214,3069,203,6,568023,3,CZ042
34394,34395,6,3,99,4,67,7,547710,654779,4214,2,2,2,6,568023,4214,3069,203,1,568023,3,CZ042
34396,34397,1,1,9,4,53,6,517990,651796,4214,2,2,1,6,568015,4214,3069,203,6,568015,4,CZ042
34399,34400,2,1,99,4,73,8,517990,651796,4214,9,1,2,6,537969,4103,3069,998,6,568015,4,CZ042
34401,34402,1,1,7,4,42,5,517990,651796,4214,9,2,1,3,567639,4213,3069,998,1,568015,4,CZ042
34402,34403,12,4,99,3,29,3,517990,651796,4214,2,3,1,6,568023,4214,3069,998,1,568015,4,CZ042
34403,34404,1,1,9,4,53,6,517990,651796,4214,1,2,2,1,568015,4214,3069,203,4,568015,4,CZ042
34404,34405,6,3,99,4,74,8,1944920,794490,4214,1,1,2,3,567442,4213,3069,998,4,568015,4,CZ042
34405,34406,99,99,99,4,72,8,517990,651796,4214,1,2,2,6,554804,4214,3069,203,6,568015,4,CZ042
34408,34409,1,1,8,4,43,5,517990,651796,4214,2,3,2,3,554804,4214,3069,203,1,568015,4,CZ042
34409,34410,8,2,99,1,14,1,517990,651796,4214,2,88,1,6,554804,4214,3069,998,2,568015,4,CZ042
34410,34411,8,2,99,3,23,3,517990,651796,4214,4,1,1,4,562335,4202,3069,203,2,568015,4,CZ042
34411,34412,1,1,1,4,60,6,517990,651796,4214,1,2,1,3,568015,4214,3018,998,4,568015,4,CZ042
34412,34413,1,1,4,3,30,3,517990,651796,4214,1,1,1,6,554804,4214,3069,998,1,568015,4,CZ042
34413,34414,1,1,1,4,56,6,517990,651796,4214,2,2,2,6,564567,4205,3069,998,1,568015,4,CZ042
34414,34415,6,3,99,4,57,6,1944920,794490,4214,2,2,2,6,568015,4214,3069,203,6,568015,4,CZ042
34415,34416,1,1,1,4,58,6,1944920,794490,4214,3,2,1,3,554804,4214,3069,203,1,568015,4,CZ042
34417,34418,1,1,9,4,65,7,517990,651796,4214,2,4,1,3,568007,4214,3069,998,1,568015,4,CZ042
34418,34419,8,2,99,1,12,1,517990,651796,4214,1,88,2,1,568015,4214,3069,998,1,568015,4,CZ042
34419,34420,1,1,9,4,43,5,517990,651796,4214,1,2,2,7,568015,4214,3069,203,4,568015,4,CZ042
34420,34421,13,5,99,1,13,1,517990,651796,4214,2,88,1,1,567442,4213,3069,998,1,568015,4,CZ042
34422,34423,1,1,9,4,36,4,517990,651796,4214,3,2,2,4,553697,4214,3069,203,1,568015,4,CZ042
34424,34425,1,1,4,4,45,5,517990,651796,4214,2,1,1,6,554804,4214,3069,203,1,568015,4,CZ042
34425,34426,7,5,99,4,32,4,517990,651796,4214,5,2,2,6,568007,4214,3069,998,1,568015,4,CZ042
34426,34427,1,1,7,4,42,5,517990,651796,4214,2,4,2,6,554804,4214,3069,203,1,568015,4,CZ042
34427,34428,1,1,9,4,44,5,517990,651796,4214,2,2,1,6,568350,4214,3069,203,1,568015,4,CZ042
34428,34429,6,3,99,4,69,7,517990,651796,4214,2,2,1,6,567442,4213,3069,203,1,568015,4,CZ042
34430,34431,1,1,1,4,63,7,517990,651796,4214,4,2,1,6,567442,4213,3069,998,5,568015,4,CZ042
34431,34432,1,1,7,4,58,6,1558110,755818,4214,2,4,2,6,554804,4214,3069,203,1,568015,4,CZ042
34433,34434,2,1,9,4,68,7,517990,651796,4214,1,2,1,1,568015,4214,3069,203,4,568015,4,CZ042
34435,34436,8,2,99,3,20,3,517990,651796,4214,1,88,2,1,568015,4214,3069,203,4,568015,4,CZ042
34436,34437,11,4,99,3,26,3,517990,651796,4214,1,2,2,3,554804,4214,3069,998,1,568015,4,CZ042
34439,34440,7,5,99,4,44,5,517990,651796,4214,2,2,2,1,568015,4214,3069,203,1,568015,4,CZ042
34440,34441,8,2,99,3,23,3,517990,651796,4214,4,1,1,3,554804,4214,3069,40,3,568015,4,CZ042
34441,34442,6,3,99,4,65,7,517990,651796,4214,6,2,2,3,568015,4214,3069,203,1,568015,4,CZ042
